full_movie_array
Express
"Bárbara Vázquez, brillante psicóloga criminal, presenta su renuncia en la Policía y comienza a trabajar en Zentral Risk, una aseguradora cuyo producto estrella es una póliza con cobertura anti-secuestros. Su meta es erradicar este tipo de delitos."
https://www.starz.com/ar/es/series/express/63120
"['SAM16', '3 EPISODIOS', 'ACCIÓN, CRIMEN', '2021 - 2022']"
The Stand
"The Stand es la visión apocalíptica de Stephen King de un mundo asolado por una plaga y envuelto en una lucha básica entre el bien y el mal. El destino de la humanidad descansa en los frágiles hombros de la Madre Abagail, de 108 años, y algunos sobrevivientes. Sus peores pesadillas se encarnan en un hombre con una sonrisa letal y poderes atroces: Randall Flagg, el Hombre Oscuro."
https://www.starz.com/ar/es/series/the-stand/61994
"['SAM16', '10 EPISODIOS', 'DRAMA', '2020 - 2021']"
Power Book IV: Force
"Tommy Egan corta todos los lazos y pone a Nueva York en su espejo retrovisor para siempre cuando llega a Chicago, proponiendo convertirse en el mayor traficante de drogas que la Segunda Ciudad haya visto."
https://www.starz.com/ar/es/series/power-book-iv-force/62261
"['SAM16', '1 EPISODIOS', 'CRIMEN, DRAMA', '2021']"
Boss
"El alcalde Tom Kane (Kelsey Grammer) es el rey de Chicago y gobierna su dominio con un puño de hierro. El engaño, el escándalo y la traición van de la mano con la forma de política de Kane."
https://www.starz.com/ar/es/series/boss/30888
"['SAM16', '18 EPISODIOS', 'DRAMA', '2011 - 2012']"
The White Queen
"""The White Queen"" es una fascinante historia de amor y deseo, traición y asesinatos, en donde se tejen vibrantemente las historias de tres mujeres diferentes pero igualmente perseverantes: Isabel Woodwille, Margarita Beaufort y Anna Neville. En la búsqueda por el poder, conspirarán, manipularán y seducirán en el camino para llegar al trono de Inglaterra."
https://www.starz.com/ar/es/series/the-white-queen/18124
"['SAM16', '10 EPISODIOS', 'DRAMA, LITERARIA', '2013']"
Dublin Murders
"“Dublin Murders” es una serie de misterio de ocho episodios con una trama que se adentra profundamente en el pasado de Irlanda, presagia su presente y brinda una percepción de su futuro."
https://www.starz.com/ar/es/series/dublin-murders/45426
